anio;f;m
1920;1164;803
1921;1739;1301
1922;1798;1387
1923;1854;1442
1924;2013;1458
1925;2022;1477
1926;2056;1540
1927;2221;1626
1928;2573;1878
1929;2556;1917
1930;2635;1975
1931;2448;1873
1932;2555;1849
1933;2591;1876
1934;2659;1931
1935;2758;1950
1936;2773;2033
1937;2933;2053
1938;2914;2032
1939;3165;2173
1940;3331;2288
1941;3426;2253
1942;3486;2341
1943;3434;2254
1944;3511;2303
1945;3446;2304
1946;3482;2326
1947;3720;2412
1948;3636;2423
1949;3632;2433
1950;3667;2339
1951;3659;2402
1952;3812;2431
1953;4195;2625
1954;4378;2712
1955;4505;2730
1956;4656;2771
1957;4483;2780
1958;4613;2716
1959;4716;2797
1960;4649;2839
1961;4779;2813
1962;4847;2906
1963;4887;2937
1964;4930;2911
1965;5202;3098
1966;5262;3111
1967;5251;3033
1968;5213;3025
1969;5018;3016
1970;5168;3032
1971;5530;3208
1972;5548;3214
1973;5717;3152
1974;5508;3042
1975;5379;2954
1976;5476;3028
1977;5304;2966
1978;5275;2938
1979;5556;3027
1980;5759;3148
1981;6176;3315
1982;6428;3391
1983;6337;3441
1984;5740;2960
1985;5874;3041
1986;6295;3373
1987;6481;3483
1988;7078;3672
1989;7261;3959
1990;7347;4077
1991;7411;3964
1992;7462;3951
1993;7597;3938
1994;7582;3926
1995;7313;3734
1996;7314;3806
1997;7383;3802
1998;7467;3786
1999;7435;3859
2000;7427;3915
2001;7524;4059
2002;7504;3997
2003;7389;4018
2004;7243;3900
2005;7188;3982
2006;7240;4147
2007;7276;4167
2008;7383;4379
2009;7255;4383
2010;6975;4387
2011;6741;4353
2012;6595;4356
2013;6198;4379
2014;6429;4474
2015;6161;4473
2016;6145;4503
2017;6682;5119
2018;8388;6525
2019;8026;6209
2020;7408;5804
